URL;Name;Land;Traeger;Promotionsrecht;Gruendung;Studierende;AS;WikiUrl;Stand
http://www.di-uni.de/;Dresden International University;SN;privat;nein;2003;1377;AS8881;/wiki/Dresden_International_University;2012/13 (WS)
http://www.kirchenmusik-dresden.de/;Evangelische Hochschule für Kirchenmusik Dresden;SN;konfessionell;nein;1949;30;AS8560;/wiki/Evangelische_Hochschule_f%C3%BCr_Kirchenmusik_Dresden;2012/13 (WS)
http://www.ehs-dresden.de/;Evangelische Hochschule für Soziale Arbeit Dresden;SN;konfessionell;nein;1991;627;AS6724;/wiki/Evangelische_Hochschule_f%C3%BCr_Soziale_Arbeit_Dresden;2012/13 (WS)
http://www.fh-dresden.eu/;Fachhochschule Dresden;SN;privat;nein;2010;113;AS20773;/wiki/Fachhochschule_Dresden;2012/13 (WS)
http://www.hfbk-dresden.de/;Hochschule für Bildende Künste Dresden;SN;staatlich;ja;1764;599;AS680;/wiki/Hochschule_f%C3%BCr_Bildende_K%C3%BCnste_Dresden;2012/13 (WS)
http://www.hfmdd.de/;Hochschule für Musik Carl Maria von Weber Dresden;SN;staatlich;ja;1856;554;AS680;/wiki/Hochschule_f%C3%BCr_Musik_Carl_Maria_von_Weber_Dresden;2012/13 (WS)
http://www.htw-dresden.de/;Hochschule für Technik und Wirtschaft Dresden;SN;staatlich;nein;1992;5272;AS680;/wiki/Hochschule_f%C3%BCr_Technik_und_Wirtschaft_Dresden;2012/13 (WS)
http://www.palucca.eu/;Palucca Hochschule für Tanz Dresden;SN;staatlich;ja;1925;164;AS61157;/wiki/Palucca_Hochschule_f%C3%BCr_Tanz_Dresden;2012/13 (WS)
http://www.tu-dresden.de/;Technische Universität Dresden;SN;staatlich;ja;1828;35961;AS680;/wiki/Technische_Universit%C3%A4t_Dresden;2015/16 (WS)
http://www.uni-due.de/;Universität Duisburg-Essen;NW;staatlich;ja;1972/2003;43281;AS680;/wiki/Universit%C3%A4t_Duisburg-Essen;2016/17 (WS)
http://www.hs-duesseldorf.de/;Hochschule Düsseldorf;NW;staatlich;nein;1971;8532;AS680;/wiki/Hochschule_D%C3%BCsseldorf;2012/13 (WS)
http://www.fliedner-fachhochschule.de/;Fliedner Fachhochschule Düsseldorf;NW;privat;nein;2011;268;AS15817;/wiki/Fliedner_Fachhochschule_D%C3%BCsseldorf;2012/13 (WS)
http://www.hhu.de/;Heinrich-Heine-Universität Düsseldorf;NW;staatlich;ja;1965;33715;AS3209;/wiki/Heinrich-Heine-Universit%C3%A4t_D%C3%BCsseldorf;2016/17 (WS)
http://www.ist-hochschule.de/;IST-Hochschule für Management;NW;privat;nein;2013;1134;AS25260;/wiki/IST-Hochschule_f%C3%BCr_Management;2015/16 (WS)
http://www.kunstakademie-duesseldorf.de/;Kunstakademie Düsseldorf;NW;staatlich;ja;1773;608;AS24940;/wiki/Kunstakademie_D%C3%BCsseldorf;2012/13 (WS)
