URL; name; popularity; active; origin; first release; first release date; release count; last release date; last release; distrowatch url
http://www.nethserver.org/; nethserver; 138 (63 hits per day); Active; Italy;6.9; 2017-05-03;2;2017-10-30;7.4;http://distrowatch.com/nethserver
http://www.netrunner.com/; netrunner; 70 (160 hits per day); Active; Germany;2.0blacklight; 2010-07-15;9;2017-11-11;17.10voyager;http://distrowatch.com/netrunner
http://www.networksecuritytoolkit.org/; nst; 198 (39 hits per day); Active; USA;1.2.3; 2005-09-06;12;2017-10-08;26-9267;http://distrowatch.com/nst
http://www.neverware.com/; cloudready; 248 (29 hits per day); Active; USA;54.1.25; 2016-12-22;1;2016-12-22;54.1.25;http://distrowatch.com/cloudready
http://www.nutyx.org/; nutyx; 63 (179 hits per day); Active; Switzerland;2009.4; 2010-05-30;9;2018-01-22;packages;http://distrowatch.com/nutyx
http://www.omoikane.co.jp/; omoikane; 302 (21 hits per day); Active; Japan;1.2; 2001-05-20;5;2016-07-01;3.0;http://distrowatch.com/omoikane
http://www.openbsd.org/; openbsd; 80 (144 hits per day); Active; Canada;2.6; 1999-12-01;37;2017-10-09;6.2;http://distrowatch.com/openbsd
http://www.openmediavault.org/; openmediavault; 136 (64 hits per day); Active; Germany;0.5.48; 2014-05-20;4;2017-12-02;3.0.94;http://distrowatch.com/openmediavault
http://www.opensuse.org/; opensuse; 10 (861 hits per day); Active; Germany;5.2; 1998-03-23;36;2018-01-22;tumbleweed;http://distrowatch.com/opensuse
http://www.openwall.com/; openwall; 290 (23 hits per day); Active; Global;0.1; 2002-03-13;6;2016-08-24;3.1-20160824;http://distrowatch.com/openwall
http://www.oracle.com/us/technologies/linux/index.html; oracle; 91 (130 hits per day); Active; USA;4.8; 2009-06-02;4;2017-08-08;7.4;http://distrowatch.com/oracle
http://www.ovios.org/; ovios; 139 (63 hits per day); Active; Canada;2.30; 2017-09-07;1;2017-09-07;2.30;http://distrowatch.com/ovios
http://www.paldo.org/; paldo; 265 (27 hits per day); Active; Switzerland;1.22; 2010-05-21;2;2018-01-22;stable;http://distrowatch.com/paldo
http://www.pardus.org.tr/; pardus; 133 (66 hits per day); Active; Turkey;1.0; 2005-12-27;11;2017-11-02;17.1;http://distrowatch.com/pardus
http://www.parrotsec.org/; parrotsecurity; 32 (306 hits per day); Active; Italy;2.2.1; 2016-05-16;4;2017-12-18;3.10;http://distrowatch.com/parrotsecurity
http://www.pclinuxos.com/; pclinuxos; 19 (506 hits per day); Active; USA;0.91; 2005-11-21;15;2018-01-22;apt;http://distrowatch.com/pclinuxos
http://www.pc-opensystems.com/p/freespireos.html; freespire; 132 (66 hits per day); Active; USA;1.0; 2006-08-08;3;2017-12-27;3;http://distrowatch.com/freespire
http://www.peachosi.com/; peachosi; 144 (60 hits per day); Active; USA;14.04.01.36; 2014-10-02;2;2016-08-10;16.04;http://distrowatch.com/peachosi
http://www.pearllinux.com/; pearl; 181 (43 hits per day); Active; USA;4.0; 2016-07-17;2;2016-12-26;5.0;http://distrowatch.com/pearl
http://www.pentoo.ch/; pentoo; 232 (33 hits per day); Active; Switzerland;2005.1; 2005-06-22;5;2016-08-02;2015.0-rc5;http://distrowatch.com/pentoo
http://www.pfsense.org/; pfsense; 111 (94 hits per day); Active; USA;1.0.1; 2006-10-29;7;2017-11-21;2.4.2;http://distrowatch.com/pfsense
http://www.pinguyos.com/; pinguy; 183 (42 hits per day); Active; United Kingdom;10.10; 2010-11-12;5;2017-11-19;14.04.5;http://distrowatch.com/pinguy
http://www.pisilinux.org/; pisi; 258 (28 hits per day); Active; Turkey;1.1; 2014-11-04;3;2017-04-24;2.0-rc;http://distrowatch.com/pisi
http://www.plamolinux.org/; plamo; 283 (24 hits per day); Active; Japan;3.0; 2002-09-23;11;2017-03-24;6.2;http://distrowatch.com/plamo
http://www.planetwatt.com/; wattos; 75 (156 hits per day); Active; USA;R2; 2010-06-23;10;2016-09-01;R10;http://distrowatch.com/wattos
http://www.plop.at/; plop; 249 (29 hits per day); Active; Austria;3.8.3; 2009-08-02;5;2017-04-11;4.3.3;http://distrowatch.com/plop
http://www.porteus.org/; porteus; 103 (110 hits per day); Active; Ireland;1.0; 2011-06-23;8;2016-12-29;3.2.2;http://distrowatch.com/porteus
http://www.proxmox.com/; proxmox; 184 (42 hits per day); Active; Austria;2.3; 2013-03-04;4;2017-10-24;5.1;http://distrowatch.com/proxmox
http://www.puppylinux.com/; puppy; 22 (423 hits per day); Active; Australia;1.0.9; 2006-05-15;18;2017-12-05;7.5xenialpup;http://distrowatch.com/puppy
http://www.raspbian.org/; raspbian; 84 (140 hits per day); Active; USA;2015-02-16; 2015-02-16;3;2017-12-01;2017-11-29;http://distrowatch.com/raspbian
http://www.raspbsd.org/; raspbsd; 263 (27 hits per day); Active; France;12.0; 2016-10-17;1;2016-10-17;12.0;http://distrowatch.com/raspbsd
http://www.rasplex.com/; rasplex; 244 (30 hits per day); Active; USA;1.8.0; 2017-03-20;1;2017-03-20;1.8.0;http://distrowatch.com/rasplex
http://www.reactos.org/; reactos; 18 (510 hits per day); Active; Russia;0.3.17; 2014-11-05;2;2017-12-06;0.4.7;http://distrowatch.com/reactos
http://www.redhat.com/; redhat; 56 (203 hits per day); Active; USA;4.2biltmore; 1997-04-23;19;2017-08-01;RHEL-7.4;http://distrowatch.com/redhat
http://www.riscosopen.org/; risc; 243 (30 hits per day); Active; United Kingdom;2017-04-13rc15; 2017-04-21;1;2017-04-21;2017-04-13rc15;http://distrowatch.com/risc
http://www.robolinux.org/; robolinux; 95 (125 hits per day); Active; USA;7.9.2; 2016-06-16;3;2018-01-03;8.10;http://distrowatch.com/robolinux
http://www.rocksclusters.org/; rockscluster; 148 (57 hits per day); Active; USA;3.3.0makalu; 2004-10-19;5;2017-12-02;7.0manzanita;http://distrowatch.com/rockscluster
http://www.rosalab.com/; rosa; 55 (204 hits per day); Active; Russia;2011; 2011-12-21;9;2017-12-06;R10;http://distrowatch.com/rosa
http://www.runtu.org/; runtu; 135 (65 hits per day); Active; Russia;3.0; 2008-10-01;5;2017-08-07;16.04.3;http://distrowatch.com/runtu
http://www.sabayon.org/; sabayon; 49 (225 hits per day); Active; Italy;2.65.1; 2005-11-28;15;2017-12-28;18.01;http://distrowatch.com/sabayon
http://www.salentos.it/; salentos; 125 (76 hits per day); Active; Italy;12.04.4; 2014-01-30;4;2017-11-29;2.0;http://distrowatch.com/salentos
http://www.salixos.org/; salix; 105 (108 hits per day); Active; Europe;13.0.2; 2009-12-23;6;2017-04-11;14.2.1;http://distrowatch.com/salix
